5;13;13;16;;;;;;;;;;;;
MENTAL;ORDRE;CITRON;HUTTE;TALC;GUERRE;AMI;CAHIER;SUCETTE;FLAMBOYANT;CADEAUX;TUER;BARRE;ROTATION;COFFRE;TORPILLE
D;H;F;Z;T;N;O;I;T;A;T;O;R;;;
R;C;A;D;E;A;U;X;H;U;K;E;T;;;
D;C;I;T;R;O;N;V;A;D;U;X;O;;;
F;S;T;O;H;O;U;J;D;T;G;F;R;;;
C;U;B;R;J;G;S;A;B;N;F;J;P;;;
H;B;J;D;O;G;J;H;L;A;S;V;I;;;
H;B;U;R;E;I;H;A;C;Y;R;C;L;;;
D;H;G;E;D;D;T;M;G;O;Q;R;L;;;
F;G;K;U;I;N;V;I;D;B;G;M;E;;;
S;C;U;E;E;F;J;M;J;M;F;G;D;;;
T;H;K;M;U;R;J;D;Y;A;Z;J;L;;;
T;A;L;C;I;Z;R;Z;G;L;S;F;J;;;
E;T;T;E;C;U;S;E;R;F;F;O;C;;;
